,Unnamed: 0,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,lyric,debut_date,peak_position,peak_date,weeks_on_chart
10,10,our song,Taylor Swift,Taylor Swift,2006-10-24,201106,54,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,0.539,89.011,"I was ridin' shotgun with my hair undone In the front seat of his car He's got a one-hand feel on the steering wheel The other on my heart I look around, turn the radio down He says, ""Baby, is something wrong?"" I say, ""Nothin', I was just thinkin' How we don't have a song"" And he says Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: ""Man, I didn't kiss her, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again I was walking up the front porch steps After everything that day Had gone all wrong or been trampled on And lost and thrown away Got to the hallway, well on my way To my lovin' bed I almost didn't notice all the roses And the note that said Our song is the slamming screen door Sneakin' out late, tapping on your window When we're on the phone and you talk real slow 'Cause it's late and your mama don't know Our song is the way you laugh The first date: ""Man, I didn't kiss her, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again Da-da-da-da I've heard every album, listened to the radio Waited for somethin' to come along That was as good as our song 'Cause our song is the slamming screen door Sneakin' out late, tappin' on his window When we're on the phone and he talks real slow 'Cause it's late and his mama don't know Our song is the way he laughs The first date: ""Man, I didn't kiss him, and I should have"" And when I got home 'fore I said amen Asking God if he could play it again Play it again, oh, yeah Oh, oh, yeah I was ridin' shotgun with my hair undone In the front seat of his car I grabbed a pen and an old napkin And I wrote down our song",10.13.07,16.0,01.19.08,36.0
11,11,invisible,Taylor Swift,Taylor Swift,2006-10-24,203226,48,0.612,0.637,0.394,0.0,0.147,-5.723,0.0243,0.233,96.001,"She can't see the way your eyes Light up when you smile She'll never notice how you stop and stare Whenever she walks by And you can't see me wanting you the way you want her But you are everything to me And I just wanna show you She don't even know you She's never gonna love you like I want to And you just see right through me But if you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible Oh, yeah There's a fire inside of you That can't help but shine through She's never gonna see the light No matter what you do And all I think about is how to make you think of me And everything that we could be I just wanna show you She don't even know you She's never gonna love you like I want to And you just see right through me If you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible Like shadows in a faded light Oh, we're invisible I just wanna open your eyes And make you realize I just wanna show you She don't even know you Baby, let me love you Let me want you You just see right through me But if you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible Oh, yeah She can't see the way your eyes Light up when you smile",,,,
12,12,a perfectly good heart,Taylor Swift,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.751,0.0,0.128,-5.726,0.0365,0.268,156.092,"Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? Maybe I should've seen the signs Should've read the writing on the wall And realized by the distance in your eyes that I would be the one to fall No matter what you say, I still can't believe That you would walk away It don't make sense to me, but Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? It's not unbroken anymore How do I get it back the way it was before? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break? Why would you wanna break it? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?",,,,
13,13,state of grace,Red (Deluxe Edition),Taylor Swift,2012-10-22,295720,62,0.588,0.000197,0.825,0.00138,0.0884,-5.882,0.0328,0.397,129.968,"I'm walking fast through the traffic lights Busy streets and busy lives And all we know is touch and go We are alone with our changing minds We fall in love 'til it hurts or bleeds Or fades in time And I never (Never) Saw you coming And I’ll never (Never) Be the same You come around and the armor falls Pierce the room like a cannonball Now all we know is don’t let go We are alone, just you and me Up in your room and our slates are clean Just twin fire signs, four blue eyes So you were never a saint And I've loved in shades of wrong We learn to live with the pain Mosaic broken hearts But this love is brave and wild And I never (Never) Saw you coming And I’ll never (Never) Be the same This is a state of grace This is the worthwhile fight Love is a ruthless game Unless you play it good and right These are the hands of fate You’re my Achilles heel This is the golden age Of something good and right and real And I never (Never) Saw you coming And I’ll never Be the same And I never (Never) Saw you coming And I’ll never (So you were never a saint) (And I've loved in shades of wrong) Be the same (We learn to live with the pain) (Mosaic broken hearts) (But this love is brave and wild) This is a state of grace This is the worthwhile fight Love is a ruthless game Unless you play it good and right",11.27.21,18.0,11.27.21,2.0
14,14,red,Red (Deluxe Edition),Taylor Swift,2012-10-22,223093,66,0.602,0.0773,0.896,8.87e-05,0.0911,-4.267,0.0437,0.641,124.978,"Loving him is like Driving a new Maserati down a dead-end street Faster than the wind, passionate as sin Ending so suddenly Loving him is like trying to change your mind Once you're already flying through the free fall Like the colors in autumn, so bright Just before they lose it all Losing him was blue like I'd never known Missing him was dark gray, all alone Forgetting him was like Trying to know somebody you never met But loving him was red (Red, red) (Red, red) Loving him was red (Red, red) (Red, red) Touching him was like Realizing all you ever wanted was right there in front of you Memorizing him was as Easy as knowing all the words to your old favorite song Fighting with him was like Trying to solve a crossword and realizing there's no right answer Regretting him was like Wishing you never found out that love could be that strong Losing him was blue like I'd never known Missing him was dark gray, all alone (Whoa) Forgetting him was like Trying to know somebody you never met But loving him was red (Red, red) Oh, red (Red, red) Burning red (Red, red) (Red, red) Remembering him comes in flashbacks and echoes Tell myself it's time now, gotta let go But moving on from him is impossible When I still see it all in my head In burning red Burning, it was red Oh, losing him was blue like I'd never known Missing him was dark gray, all alone (Whoa) Forgetting him was like Trying to know somebody you never met 'Cause loving him was red (Red, red) Yeah, yeah, red (Red, red) Burning red (Red, red) (Red, red) And that's why (Red, red) he's spinning 'round in my head Comes back to me (Red, red), burning red (Red, red) Yeah, yeah (Red, red) His love was like Driving a new Maserati down a dead-end street",11.27.21,25.0,11.27.21,2.0
15,15,treacherous,Red (Deluxe Edition),Taylor Swift,2012-10-22,242760,61,0.704,0.101,0.621,4.3e-06,0.14,-8.086,0.0334,0.395,109.995,"Put your lips close to mine As long as they don't touch Out of focus, eye to eye 'Til the gravity's too much And I'll do anything you say If you say it with your hands And I'd be smart to walk away But you're quicksand This slope is treacherous This path is reckless This slope is treacherous And I-I-I like it I can't decide if it's a choice Getting swept away I hear the sound of my own voice Asking you to stay And all we are is skin and bone Trained to get along Forever going with the flow But you're friction [Chorus] This slope is treacherous This path is reckless This slope is treacherous I, I, I like it Two headlights shine through the sleepless night And I will get you, get you alone Your name has echoed through my mind And I just think you should, think you should know That nothing safe is worth the drive And I would follow you, follow you home I'll follow you, follow you home This hope is treacherous This daydream is dangerous This hope is treacherous I-I-I, I-I-I, I-I-I Two headlights shine through the sleepless night And I will get you, get you alone Your name has echoed through my mind And I just think you should, think you should know That nothing safe is worth the drive And I would follow you, follow you home I'll follow you, follow you home I'll follow you, follow you home I'll follow you, follow you home This slope is treacherous I-I-I like it",11.27.21,54.0,11.27.21,1.0
16,16,all too well,Red (Deluxe Edition),Taylor Swift,2012-10-22,329160,72,0.602,0.0382,0.609,0.0002,0.128,-7.803,0.0243,0.337,93.06,"I walked through the door with you, the air was cold But something 'bout it felt like home somehow And I left my scarf there at your sister's house And you've still got it in your drawer, even now Oh, your sweet disposition and my wide-eyed gaze We're singing in the car, getting lost upstate Autumn leaves falling down like pieces into place And I can picture it after all these days And I know it's long gone and That magic's not here no more And I might be okay, but I'm not fine at all Oh, oh, oh 'Cause there we are again on that little town street You almost ran the red 'cause you were lookin' over at me Wind in my hair, I was there I remember it all too well Photo album on the counter, your cheeks were turning red You used to be a little kid with glasses in a twin-sized bed And your mother's telling stories 'bout you on the tee-ball team You tell me 'bout your past, thinking your future was me And I know it's long gone and There was nothing else I could do And I forget about you long enough To forget why I needed to 'Cause there we are again in the middle of the night We're dancing ‘round the kitchen in the refrigerator light Down the stairs, I was there I remember it all too well, yeah Maybe we got lost in translation Maybe I asked for too much But maybe this thing was a masterpiece 'Til you tore it all up Running scared, I was there I remember it all too well And you call me up again Just to break me like a promise So casually cruel in the name of being honest I'm a crumpled up piece of paper lying here 'Cause I remember it all, all, all Too well Time won't fly, it's like I'm paralyzed by it I'd like to be my old self again, but I'm still trying to find it After plaid shirt days and nights when you made me your own Now you mail back my things and I walk home alone But you keep my old scarf from that very first week 'Cause it reminds you of innocence and it smells like me You can't get rid of it 'Cause you remember it all too well, yeah 'Cause there we are again when I loved you so Back before you lost the one real thing you've ever known It was rare, I was there I remember it all too well Wind in my hair, you were there You remember it all Down the stairs, you were there You remember it all It was rare, I was there I remember it all too well",11.27.21,1.0,11.27.21,15.0
17,17,22,Red (Deluxe Edition),Taylor Swift,2012-10-22,232120,64,0.661,0.00215,0.729,0.0013,0.0477,-6.561,0.0376,0.668,103.987,"It feels like a perfect night To dress up like hipsters And make fun of our exes, uh-uh, uh-uh It feels like a perfect night For breakfast at midnight To fall in love with strangers, uh-uh, uh-uh Yeah We're happy, free, confused, and lonely at the same time It's miserable and magical, oh, yeah Tonight's the night when we forget about the deadlines It's time, oh-oh I don't know about you, but I'm feeling 22 Everything will be alright if you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if we just keep dancing like we're 22, 22 It seems like one of those nights This place is too crowded Too many cool kids, uh-uh, uh-uh (Who's Taylor Swift, anyway? Ew) It seems like one of those nights We ditch the whole scene And end up dreaming Instead of sleeping Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Yeah We're happy, free, confused, and lonely in the best way It's miserable and magical, oh, yeah Tonight's the night when we forget about the heartbreaks It's time, oh-oh (Hey!) I don't know about you, but I'm feeling 22 Everything will be alright (Ooh) if you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if (Alright) We just keep dancing like we're 22 (Oh, oh, oh, oh, oh) 22 (I don't know about you) 22, 22 It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news I gotta have you I gotta have you Ooh, ooh, yeah (Hey!) I don't know about you, but I'm feeling 22 Everything will be alright if (Ooh) you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if we just keep dancing like we're 22 (Whoa, oh) 22 (Dancing like) 22 (Yeah, yeah), 22, (Yeah, yeah, yeah) It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news I gotta have you I gotta have you",11.27.21,52.0,11.27.21,1.0
18,18,i almost do,Red (Deluxe Edition),Taylor Swift,2012-10-22,244560,61,0.567,0.0173,0.481,4.13e-05,0.182,-7.357,0.027,0.233,145.865,"I bet this time of night, you’re still up I bet you’re tired from a long hard week I bet you’re sittin' in your chair by the window Looking out at the city, and I bet Sometimes you wonder 'bout me And I just wanna tell you It takes everything in me not to call you And I wish I could run to you And I hope you know that Every time I don’t, I almost do, I almost do I bet you think I either moved on or hate you ‘Cause each time you reach out, there’s no reply I bet it never, ever occurred to you That I can’t say hello to you and risk another goodbye And I just wanna tell you It takes everything in me not to call you And I wish I could run to you And I hope you know that Every time I don’t, I almost do, I almost do Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Oh, we made quite a mess, babe It’s probably better off this way And I confess, babe In my dreams, you’re touching my face And asking me if I want to try again with you And I almost do And I just wanna tell you It takes everything in me not to call you And I wish I could run to you And I hope you know that Every time I don’t, I almost do, I almost do I bet this time of night, you’re still up I bet you’re tired from a long hard week I bet you’re sittin' in your chair by the window Looking out at the city, and I hope Sometimes you wonder 'bout me",11.27.21,59.0,11.27.21,1.0
19,19,we are never ever getting back together,Red (Deluxe Edition),Taylor Swift,2012-10-22,193146,65,0.628,0.00957,0.676,2.65e-05,0.121,-5.911,0.0916,0.75,85.984,"I remember when we broke up the first time Saying, ""This is it, I've had enough,"" 'cause like We hadn't seen each other in a month When you said you needed space (What?) Then you come around again and say ""Baby, I miss you and I swear I'm gonna change, trust me"" Remember how that lasted for a day? I say, ""I hate you,"" we break up, you call me, I love you Ooh-ooh-ooh-ooh-ooh We called it off again last night, but Ooh-ooh-ooh-ooh-ooh This time, I'm telling you, I'm telling you We are never, ever, ever getting back together We are never, ever, ever getting back together You go talk to your friends, talk to my friends, talk to me But we are never, ever, ever, ever Getting back together Like, ever I'm really gonna miss you picking fights And me falling for it, screaming that I'm right And you would hide away and find your peace of mind With some indie record that's much cooler than mine Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Ooh-ooh-ooh-ooh-ooh You called me up again tonight, but Ooh-ooh-ooh-ooh-ooh This time, I'm telling you, I'm telling you We (We) are never, ever, ever getting back together We are never, ever, ever getting back together You go talk to your friends, talk to my friends, talk to me (Talk to me) But we are never, ever, ever, ever Getting back together Ooh-ooh-ooh-ooh-ooh (Yeah) Ooh-ooh-ooh-ooh-ooh-ooh (Yeah) Ooh-ooh-ooh-ooh-ooh (Yeah) Oh-oh-oh I used to think that we were forever, ever And I used to say, ""Never say never"" Ugh, so he calls me up and he's like, ""I still love you"" And I'm like, ""I just, I mean, this is exhausting, you know? Like, we are never getting back together, like, ever"" (No) We are never, ever, ever getting back together We are never, ever, ever (Ooh) getting back together You go talk to your friends, talk to my friends, talk to me But we are never, ever, ever, ever Getting back together We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no) Getting back together We (Ooh-ooh-ooh-ooh-ooh, oh, oh) Getting back together (Yeah) You go talk to your friends, talk to my friends, talk to me (Talk to me) But we are never, ever, ever, ever Getting back together",11.27.21,55.0,11.27.21,1.0
20,20,stay stay stay,Red (Deluxe Edition),Taylor Swift,2012-10-22,205853,60,0.729,0.307,0.748,1.29e-06,0.0962,-6.67,0.0245,0.928,99.981,"I'm pretty sure we almost broke up last night I threw my phone across the room, at you I was expecting some dramatic turn away But you stayed This morning, I said we should talk about it 'Cause I read you should never leave a fight unresolved That's when you came in wearing a football helmet And said, ""Okay, let's talk"" And I said Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay Before you, I'd only dated self-indulgent takers Who took all of their problems out on me But you carry my groceries and now I'm always laughing And I love you because you have given me No choice but to Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay, stay, stay, stay You took the time to memorize me My fears, my hopes, and dreams I just like hanging out with you, all the time All those times that you didn't leave, it's been occurring to me I'd like to hang out with you, for my whole life Stay, and I'll be loving you for quite some time No one else is gonna love me when I get mad, mad, mad So I think that it's best if we both stay, stay Stay, stay, stay, stay! Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay, stay Stay, stay, stay, stay! Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay (Ha-ha-ha, it's so fun)",11.27.21,67.0,11.27.21,1.0
21,21,the last time,Red (Deluxe Edition),Taylor Swift,2012-10-22,299013,61,0.505,0.035,0.443,3.15e-06,0.0906,-7.039,0.0276,0.123,94.069,"Find myself at your door Just like all those times before I’m not sure how I got there All roads they lead me here I imagine you are home In your room, all alone And you open your eyes into mine And everything feels better And right before your eyes I'm breaking, no past No reasons why Just you and me This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye (Eye, eye) You find yourself at my door Just like all those times before You wear your best apology But I was there to watch you leave And all the times I let you in Just for you to go again Disappear when you come back Everything is better And right before your eyes I'm aching, run fast Nowhere to hide Just you and me This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye (Eye, eye) This is the last time you tell me I've got it wrong This is the last time I say it's been you all along This is the last time I let you in my door This is the last time, I won't hurt you anymore Oh-ho, oh-ho, oh-ho, oh-ho Oh-ho, oh-ho, oh-ho, oh-ho This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye This is the last time I'm asking you this (This is the last time I'm asking you this) Put my name at the top of your list (Put my name at the top of your list) This is the last time I'm asking you why (This is the last time I'm asking you why) You break my heart in the blink of an eye (You break my heart) This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this",11.27.21,66.0,11.27.21,1.0
